Name,B,T,Ht,Salary
Terry Adams,R,R,190.5,
Bronson Arroyo,R,R,190.5,"$332,500"
Lenny DiNardo,L,L,187.96,"$300,000"
Alan Embree,L,L,187.96,"$3,000,000"
Keith Foulke,R,R,182.88,"$3,500,000"
Curt Leskanic,R,R,182.88,
Derek Lowe,R,R,198.12,"$4,500,000"
Mark Malaska,L,L,190.5,
Anastacio Martinez,R,R,187.96,
Pedro Martinez,R,R,180.34,"$17,500,000"
Ramiro Mendoza,R,R,187.96,"$3,600,000"
Mike Myers,L,L,190.5,
Curt Schilling,R,R,195.58,"$12,000,000"
Mike Timlin,R,R,193.04,"$2,500,000"
Tim Wakefield,R,R,187.96,"$4,350,000"
Scott Williamson,R,R,182.88,"$3,175,000"
